"first_date_of_month","all_monthly_index","all_quarterly_index","all_yearly_index","flat_monthly_index","flat_quarterly_index","flat_yearly_index","villa_monthly_index","villa_quarterly_index","villa_yearly_index","all_monthly_price_index","all_quarterly_price_index","all_yearly_price_index","flat_monthly_price_index","flat_quarterly_price_index","flat_yearly_price_index","villa_monthly_price_index","villa_quarterly_price_index","villa_yearly_price_index","load_timestamp"
"2017-03-01","1.290","1.314",,"1.327","1.341",,"1.424","1.332",,"1228303.000","1223463.000",,"1170340.000","1165033.000",,"2254320.000","2258618.000",,"2025-11-19 11:56:34.000"
"2019-07-01","1.127",,,"1.173",,,"1.089",,,"1059348.000",,,"1011827.000",,,"1737806.000",,,"2025-11-19 11:56:34.000"
"2012-07-01","0.993",,,"0.992",,,"1.058",,,"952149.000",,,"920280.000",,,"1757532.000",,,"2025-11-19 11:56:34.000"
"2016-10-01","1.255",,,"1.279",,,"1.381",,,"1164840.000",,,"1111692.000",,,"2220563.000",,,"2025-11-19 11:56:34.000"
"2018-09-01","1.232","1.279",,"1.271","1.321",,"1.262","1.254",,"1132739.000","1153947.000",,"1084357.000","1105671.000",,"2120682.000","2150196.000",,"2025-11-19 11:56:34.000"
"2021-12-01","1.179","1.181","1.193","1.207","1.184","1.201","1.193","1.204","1.198","1141666.000","1118217.000","1133785.000","1026759.000","1000058.000","1041679.000","2003452.000","2060863.000","1961679.000","2025-11-19 11:56:34.000"
"2023-05-01","1.442",,,"1.560",,,"1.394",,,"1364430.000",,,"1321494.000",,,"2336939.000",,,"2025-11-19 11:56:34.000"
"2016-05-01","1.219",,,"1.252",,,"1.275",,,"1124113.000",,,"1071814.000",,,"1987794.000",,,"2025-11-19 11:56:34.000"
"2014-06-01","1.213","1.190",,"1.250","1.213",,"1.290","1.204",,"1137710.000","1119794.000",,"1105277.000","1083915.000",,"2131603.000","2080308.000",,"2025-11-19 11:56:34.000"
"2014-10-01","1.262",,,"1.315",,,"1.355",,,"1195080.000",,,"1153408.000",,,"2144040.000",,,"2025-11-19 11:56:34.000"
"2017-09-01","1.277","1.330",,"1.323","1.364",,"1.377","1.331",,"1219751.000","1244973.000",,"1164538.000","1186264.000",,"2197222.000","2248383.000",,"2025-11-19 11:56:34.000"
"2021-05-01","1.071",,,"1.085",,,"0.993",,,"1007529.000",,,"904476.000",,,"1773164.000",,,"2025-11-19 11:56:34.000"
"2023-12-01","1.577","1.616","1.599","1.717","1.736","1.685","1.617","1.546","1.473","1462697.000","1472796.000","1492495.000","1431218.000","1430640.000","1437212.000","2711481.000","2640417.000","2447257.000","2025-11-19 11:56:34.000"
"2020-11-01","1.076",,,"1.125",,,"0.997",,,"1017352.000",,,"957668.000",,,"1663863.000",,,"2025-11-19 11:56:34.000"
"2023-11-01","1.554",,,"1.693",,,"1.592",,,"1448416.000",,,"1415573.000",,,"2679492.000",,,"2025-11-19 11:56:34.000"
"2017-08-01","1.272",,,"1.317",,,"1.396",,,"1211157.000",,,"1154519.000",,,"2229365.000",,,"2025-11-19 11:56:34.000"
"2021-08-01","1.096",,,"1.116",,,"1.072",,,"1041825.000",,,"931311.000",,,"1909567.000",,,"2025-11-19 11:56:34.000"
"2023-03-01","1.421","1.461",,"1.539","1.556",,"1.366","1.314",,"1353266.000","1364789.000",,"1310604.000","1309126.000",,"2291490.000","2254534.000",,"2025-11-19 11:56:34.000"
"2014-02-01","1.140",,,"1.175",,,"1.223",,,"1080291.000",,,"1048978.000",,,"2037454.000",,,"2025-11-19 11:56:34.000"
"2018-05-01","1.255",,,"1.294",,,"1.317",,,"1153430.000",,,"1109304.000",,,"2184103.000",,,"2025-11-19 11:56:34.000"
"2021-06-01","1.070","1.108",,"1.088","1.118",,"1.013","1.076",,"1009593.000","1023551.000",,"904920.000","927441.000",,"1822343.000","1880153.000",,"2025-11-19 11:56:34.000"
"2013-12-01","1.116","1.104","1.054","1.147","1.121","1.066","1.217","1.163","1.095","1057381.000","1051650.000","1045819.000","1026844.000","1017334.000","1011683.000","2047949.000","1997298.000","1825443.000","2025-11-19 11:56:34.000"
"2012-10-01","0.996",,,"0.997",,,"1.058",,,"950372.000",,,"919180.000",,,"1779470.000",,,"2025-11-19 11:56:34.000"
"2015-10-01","1.273",,,"1.309",,,"1.288",,,"1185425.000",,,"1141309.000",,,"2008716.000",,,"2025-11-19 11:56:34.000"
"2022-07-01","1.338",,,"1.414",,,"1.349",,,"1303494.000",,,"1218379.000",,,"2162529.000",,,"2025-11-19 11:56:34.000"
"2011-04-01","1.018",,,"1.032",,,"1.016",,,"1000907.000",,,"981915.000",,,"1583663.000",,,"2025-11-19 11:56:34.000"
"2013-09-01","1.091","1.077",,"1.102","1.085",,"1.172","1.132",,"1024976.000","1019603.000",,"998527.000","988999.000",,"2033875.000","1962095.000",,"2025-11-19 11:56:34.000"
"2014-07-01","1.227",,,"1.266",,,"1.305",,,"1144979.000",,,"1112514.000",,,"2151716.000",,,"2025-11-19 11:56:34.000"
